data,hora,ip,latencia_media
2025-12-14,08:45,138.97.220.57,4.979
2025-12-14,08:45,138.97.220.60,4.422
2025-12-14,08:45,138.97.220.65,4.003
2025-12-14,08:45,138.97.220.66,5.517
2025-12-14,08:45,138.97.220.69,4.625
2025-12-14,08:45,138.97.220.70,4.575
2025-12-14,08:45,8.8.8.8,7.415
2025-12-14,08:45,1.1.1.1,8.116
2025-12-14,08:47,138.97.220.58,4.344
2025-12-14,08:47,138.97.220.62,5.816
2025-12-14,08:47,138.97.220.57,4.728
2025-12-14,08:47,138.97.220.60,20.624
2025-12-14,08:47,138.97.220.65,4.448
2025-12-14,08:47,138.97.220.66,4.451
2025-12-14,08:47,138.97.220.69,4.435
2025-12-14,08:47,138.97.220.70,4.748
2025-12-14,08:47,8.8.8.8,7.629
2025-12-14,08:47,1.1.1.1,7.336
2025-12-14,08:49,138.97.220.58,4.572
2025-12-14,08:49,138.97.220.62,5.203
2025-12-14,08:49,138.97.220.57,4.193
2025-12-14,08:49,138.97.220.60,4.488
2025-12-14,08:49,138.97.220.65,4.461
2025-12-14,08:49,138.97.220.66,4.618
2025-12-14,08:49,138.97.220.69,4.472
2025-12-14,08:49,138.97.220.70,4.709
2025-12-14,08:49,8.8.8.8,8.901
2025-12-14,08:49,1.1.1.1,6.676
2025-12-14,08:50,138.97.220.58,4.538
2025-12-14,08:50,138.97.220.62,3.742
2025-12-14,08:50,138.97.220.57,4.685
2025-12-14,08:50,138.97.220.60,4.352
2025-12-14,08:50,138.97.220.65,3.822
2025-12-14,08:50,138.97.220.66,4.715
2025-12-14,08:50,138.97.220.69,5.705
2025-12-14,08:50,138.97.220.70,4.638
2025-12-14,08:50,8.8.8.8,7.612
2025-12-14,08:50,1.1.1.1,7.911
2025-12-14,08:52,138.97.220.58,4.762
2025-12-14,08:52,138.97.220.62,4.228
2025-12-14,08:52,138.97.220.57,23.574
2025-12-14,08:52,138.97.220.60,4.816
2025-12-14,08:52,138.97.220.65,4.532
2025-12-14,08:52,138.97.220.66,3.891
2025-12-14,08:52,138.97.220.69,13.658
2025-12-14,08:52,138.97.220.70,12.039
2025-12-14,08:52,8.8.8.8,31.676
2025-12-14,08:52,1.1.1.1,6.513
2025-12-14,08:54,138.97.220.58,4.193
2025-12-14,08:54,138.97.220.62,4.282
2025-12-14,08:54,138.97.220.57,4.852
2025-12-14,08:54,138.97.220.60,4.295
2025-12-14,08:54,138.97.220.65,4.464
2025-12-14,08:54,138.97.220.66,9.796
2025-12-14,08:54,138.97.220.69,4.275
2025-12-14,08:54,138.97.220.70,4.359
2025-12-14,08:54,8.8.8.8,7.722
2025-12-14,08:54,1.1.1.1,9.506
2025-12-14,08:55,138.97.220.58,4.159
2025-12-14,08:55,138.97.220.62,5.124
2025-12-14,08:55,138.97.220.57,6.582
2025-12-14,08:55,138.97.220.60,21.185
2025-12-14,08:55,138.97.220.65,7.142
2025-12-14,08:55,138.97.220.66,6.235
2025-12-14,08:55,138.97.220.69,5.095
2025-12-14,08:55,138.97.220.70,4.508
2025-12-14,08:55,8.8.8.8,6.511
2025-12-14,08:55,1.1.1.1,7.283
2025-12-14,08:57,138.97.220.58,4.623
2025-12-14,08:57,138.97.220.62,6.469
2025-12-14,08:57,138.97.220.57,4.490
2025-12-14,08:57,138.97.220.60,6.882
2025-12-14,08:57,138.97.220.65,4.848
2025-12-14,08:57,138.97.220.66,5.356
2025-12-14,08:57,138.97.220.69,6.751
2025-12-14,08:57,138.97.220.70,3.441
2025-12-14,08:57,8.8.8.8,7.284
2025-12-14,08:57,1.1.1.1,6.953
2025-12-14,08:59,138.97.220.58,4.020
2025-12-14,08:59,138.97.220.62,4.257
2025-12-14,08:59,138.97.220.57,4.443
2025-12-14,08:59,138.97.220.60,4.541
2025-12-14,08:59,138.97.220.65,3.980
2025-12-14,08:59,138.97.220.66,3.824
2025-12-14,08:59,138.97.220.69,3.504
2025-12-14,08:59,138.97.220.70,4.889
2025-12-14,08:59,8.8.8.8,6.989
2025-12-14,08:59,1.1.1.1,6.150
2025-12-14,09:00,138.97.220.58,4.575
2025-12-14,09:00,138.97.220.62,3.773
2025-12-14,09:00,138.97.220.57,4.055
2025-12-14,09:00,138.97.220.60,6.669
2025-12-14,09:00,138.97.220.65,4.551
2025-12-14,09:00,138.97.220.66,4.168
2025-12-14,09:00,138.97.220.69,3.715
2025-12-14,09:00,138.97.220.70,4.285
2025-12-14,09:00,8.8.8.8,52.373
2025-12-14,09:00,1.1.1.1,7.380
2025-12-14,09:02,138.97.220.58,6.040
2025-12-14,09:02,138.97.220.62,4.563
2025-12-14,09:02,138.97.220.57,5.234
2025-12-14,09:02,138.97.220.58,DNS,TIMEOUT
2025-12-14,09:02,138.97.220.62,DNS,TIMEOUT
